geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Honolulu,driving,NA,Hawaii,United States,2020-10-07,65.06
city,Honolulu,driving,NA,Hawaii,United States,2020-10-08,66.14
city,Honolulu,driving,NA,Hawaii,United States,2020-10-09,84.76
city,Honolulu,driving,NA,Hawaii,United States,2020-10-10,71.64
city,Honolulu,driving,NA,Hawaii,United States,2020-10-11,54.9
city,Honolulu,driving,NA,Hawaii,United States,2020-10-12,59.78
city,Honolulu,driving,NA,Hawaii,United States,2020-10-13,60.29
city,Honolulu,driving,NA,Hawaii,United States,2020-10-14,62.42
city,Honolulu,driving,NA,Hawaii,United States,2020-10-15,66.37
city,Honolulu,driving,NA,Hawaii,United States,2020-10-16,75.62
city,Honolulu,driving,NA,Hawaii,United States,2020-10-17,74.91
city,Honolulu,driving,NA,Hawaii,United States,2020-10-18,59.78
city,Honolulu,driving,NA,Hawaii,United States,2020-10-19,66.29
city,Honolulu,driving,NA,Hawaii,United States,2020-10-20,66.96
city,Honolulu,driving,NA,Hawaii,United States,2020-10-21,69
city,Honolulu,driving,NA,Hawaii,United States,2020-10-22,70.75
city,Honolulu,driving,NA,Hawaii,United States,2020-10-23,81.82
city,Honolulu,driving,NA,Hawaii,United States,2020-10-24,82.27
city,Honolulu,driving,NA,Hawaii,United States,2020-10-25,64.58
city,Honolulu,driving,NA,Hawaii,United States,2020-10-26,71.14
city,Honolulu,driving,NA,Hawaii,United States,2020-10-27,69.49
city,Honolulu,driving,NA,Hawaii,United States,2020-10-28,69.45
city,Honolulu,driving,NA,Hawaii,United States,2020-10-29,72.69
city,Honolulu,driving,NA,Hawaii,United States,2020-10-30,87.89
city,Honolulu,driving,NA,Hawaii,United States,2020-10-31,79.37
city,Honolulu,driving,NA,Hawaii,United States,2020-11-01,60.18
city,Honolulu,driving,NA,Hawaii,United States,2020-11-02,68.73
city,Honolulu,driving,NA,Hawaii,United States,2020-11-03,69.66
city,Honolulu,driving,NA,Hawaii,United States,2020-11-04,65.14
city,Honolulu,driving,NA,Hawaii,United States,2020-11-05,68.53
city,Honolulu,driving,NA,Hawaii,United States,2020-11-06,79.52
city,Honolulu,driving,NA,Hawaii,United States,2020-11-07,78.92
city,Honolulu,driving,NA,Hawaii,United States,2020-11-08,61.79
city,Honolulu,driving,NA,Hawaii,United States,2020-11-09,67.8
city,Honolulu,driving,NA,Hawaii,United States,2020-11-10,73.49
city,Honolulu,driving,NA,Hawaii,United States,2020-11-11,75.9
city,Honolulu,driving,NA,Hawaii,United States,2020-11-12,69.86
city,Honolulu,driving,NA,Hawaii,United States,2020-11-13,82.07
city,Honolulu,driving,NA,Hawaii,United States,2020-11-14,80.14
city,Honolulu,driving,NA,Hawaii,United States,2020-11-15,64.61
city,Honolulu,driving,NA,Hawaii,United States,2020-11-16,68.87
city,Honolulu,driving,NA,Hawaii,United States,2020-11-17,69.86
city,Honolulu,driving,NA,Hawaii,United States,2020-11-18,69.54
city,Honolulu,driving,NA,Hawaii,United States,2020-11-19,69.56
city,Honolulu,driving,NA,Hawaii,United States,2020-11-20,80.21
city,Honolulu,driving,NA,Hawaii,United States,2020-11-21,82.72
city,Honolulu,driving,NA,Hawaii,United States,2020-11-22,62.76
city,Honolulu,driving,NA,Hawaii,United States,2020-11-23,70.79
city,Honolulu,driving,NA,Hawaii,United States,2020-11-24,75.62
city,Honolulu,driving,NA,Hawaii,United States,2020-11-25,82.54
city,Honolulu,driving,NA,Hawaii,United States,2020-11-26,45.61
city,Honolulu,driving,NA,Hawaii,United States,2020-11-27,72.11
city,Honolulu,driving,NA,Hawaii,United States,2020-11-28,73.41
