geo_type,region,transportation_type,alternative_name,sub-region,country,date,mobility percentage
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-20,191.47
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-21,141.1
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-22,142.62
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-23,144.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-24,149.73
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-25,160.82
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-26,202.12
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-27,200.35
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-28,135.98
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-29,139.6
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-30,144.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-31,149.64
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-01,177.12
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-02,199.35
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-03,175.38
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-04,100.81
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-05,152.89
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-06,148.92
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-07,150.82
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-08,155.46
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-09,205.77
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-10,186.91
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-11,134.73
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-12,143.37
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-13,147.27
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-14,153.37
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-15,160.12
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-16,182.35
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-17,192.51
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-18,142.66
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-19,155.63
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-20,155.41
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-21,163.01
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-22,167.34
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-23,199.35
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-24,217.66
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-25,155.67
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-26,167.51
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-27,175.57
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-28,172.54
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-29,173.87
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-04-30,211.72
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-01,243.92
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-02,167.77
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-03,175.93
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-04,180.84
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-05,177.08
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-06,184.76
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-07,232.42
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-08,250.31
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-09,163.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-10,185.94
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-11,185.54
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-12,188.97
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-13,208.61
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-14,252.34
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-15,238.62
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-16,192.26
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-17,201.81
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-18,208.84
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-19,219.71
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-20,215.3
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-21,265.83
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-22,272.03
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-23,203.52
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-24,217.74
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-25,235.14
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-26,231.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-27,234.97
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-28,272.87
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-29,236.01
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-30,220.19
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-05-31,217.13
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-01,230.31
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-02,246.24
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-03,241.25
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-04,278.21
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-05,261.43
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-06,219.19
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-07,246.33
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-08,250.69
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-09,251.22
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-10,251.93
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-11,303.91
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-12,292.8
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-13,235.14
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-14,263.11
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-15,268.48
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-16,247.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-17,297.01
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-18,311.13
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-19,276.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-20,206.96
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-21,267.44
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-22,268.12
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-23,261.92
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-24,267.54
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-25,315.78
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-26,308.27
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-27,247.65
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-28,260.63
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-29,265.56
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-06-30,275.92
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-01,296.23
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-02,302.67
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-03,306.04
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-04,280.71
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-05,250.85
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-06,244.98
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-07,245.66
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-08,262.21
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-09,317.62
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-10,325.23
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-11,254.47
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-12,264.18
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-13,268.87
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-14,275.03
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-15,286.96
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-16,309.2
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-17,312.51
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-07-18,249.2
